"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HDFC","W3","02-Mar-2021","        840.00","        850.00","        850.00","        817.00","        833.60","        833.60","        827.16","      19200","            15881550.00","         32"
"HDFC","EQ","03-Mar-2021","       2564.00","       2608.90","       2664.15","       2592.15","       2654.85","       2654.90","       2626.73","    5640063","         14814933877.45","     133676"
"HDFC","W3","03-Mar-2021","        833.60","        850.00","        865.00","        845.00","        864.00","        857.15","        852.57","      28200","            24042570.00","         42"
"HDFC","EQ","04-Mar-2021","       2654.90","       2610.00","       2610.00","       2568.00","       2584.90","       2582.95","       2584.28","    5315682","         13737220189.30","     235030"
"HDFC","W3","04-Mar-2021","        857.15","        802.25","        830.00","        802.25","        826.00","        826.00","        816.79","      36600","            29894370.00","         59"
"HDFC","EQ","05-Mar-2021","       2582.95","       2573.60","       2579.90","       2523.50","       2546.90","       2543.90","       2551.40","    4254126","         10853977688.85","     171484"
"HDFC","W3","05-Mar-2021","        826.00","        813.80","        826.00","        795.00","        810.00","        805.10","        809.26","      52800","            42729090.00","         75"
"HDFC","EQ","08-Mar-2021","       2543.90","       2555.05","       2560.00","       2505.40","       2512.00","       2510.25","       2525.59","    2179821","          5505333730.15","     114119"
"HDFC","W3","08-Mar-2021","        805.10","        811.00","        822.50","        797.00","        800.00","        801.65","        804.37","      27000","            21717990.00","         43"
"HDFC","EQ","09-Mar-2021","       2510.25","       2513.10","       2584.40","       2513.10","       2578.00","       2577.30","       2559.34","    2877662","          7364925570.70","     122151"
"HDFC","W3","09-Mar-2021","        801.65","        815.05","        850.00","        815.05","        850.00","        847.70","        838.97","      27000","            22652190.00","         41"
"HDFC","EQ","10-Mar-2021","       2577.30","       2590.40","       2609.40","       2580.60","       2600.00","       2599.80","       2596.55","    2569360","          6671472757.60","     102150"
"HDFC","W3","10-Mar-2021","        847.70","        861.85","        865.00","        835.00","        840.00","        840.00","        846.74","      13800","            11685060.00","         22"
"HDFC","EQ","12-Mar-2021","       2599.80","       2662.00","       2667.95","       2556.35","       2568.00","       2568.00","       2607.61","    3487185","          9093216419.80","     135588"
"HDFC","W3","12-Mar-2021","        840.00","        874.00","        874.00","        813.50","        826.50","        824.65","        837.35","      20400","            17081970.00","         34"
"HDFC","EQ","15-Mar-2021","       2568.00","       2565.00","       2568.00","       2496.05","       2532.90","       2535.50","       2521.26","    2905477","          7325465978.50","     143612"
"HDFC","W3","15-Mar-2021","        824.65","        801.10","        830.00","        785.00","        830.00","        828.00","        800.22","      76800","            61457010.00","        122"
"HDFC","EQ","16-Mar-2021","       2535.50","       2556.50","       2562.65","       2503.00","       2517.50","       2510.40","       2529.62","    2446483","          6188680432.65","     140833"
"HDFC","W3","16-Mar-2021","        828.00","        819.00","        820.00","        810.00","        820.00","        812.50","        816.12","      15600","            12731520.00","         26"
"HDFC","EQ","17-Mar-2021","       2510.40","       2509.10","       2542.00","       2502.75","       2510.00","       2515.55","       2520.91","    3362442","          8476407084.80","     109845"
"HDFC","W3","17-Mar-2021","        812.50","        817.90","        819.45","        792.25","        800.00","        798.30","        801.21","      34800","            27881970.00","         57"
"HDFC","EQ","18-Mar-2021","       2515.55","       2549.00","       2561.45","       2501.00","       2507.80","       2514.60","       2528.95","    3460891","          8752416459.90","     147535"
"HDFC","W3","18-Mar-2021","        798.30","        795.00","        814.00","        770.00","        786.00","        781.45","        789.90","      57600","            45498120.00","         93"
"HDFC","EQ","19-Mar-2021","       2514.60","       2486.00","       2567.00","       2481.70","       2525.40","       2531.65","       2523.88","    5277763","         13320434188.85","     122261"
"HDFC","W3","19-Mar-2021","        781.45","        765.00","        797.95","        760.00","        780.00","        782.45","        773.85","      49200","            38073300.00","         77"
"HDFC","EQ","22-Mar-2021","       2531.65","       2530.10","       2547.35","       2485.00","       2536.20","       2531.85","       2516.21","    3367784","          8474065236.85","     118982"
"HDFC","W3","22-Mar-2021","        782.45","        780.00","        780.00","        766.00","        774.95","        775.00","        773.72","      19800","            15319650.00","         32"
"HDFC","EQ","23-Mar-2021","       2531.85","       2531.00","       2541.35","       2492.10","       2512.30","       2509.90","       2512.86","    3980896","         10003415249.05","     170520"
"HDFC","W3","23-Mar-2021","        775.00","        783.25","        788.00","        750.00","        774.00","        765.30","        761.93","     123600","            94174710.00","        181"
"HDFC","EQ","24-Mar-2021","       2509.90","       2484.85","       2503.50","       2446.70","       2465.00","       2465.75","       2470.25","    3165420","          7819375116.75","     146395"
"HDFC","W3","24-Mar-2021","        765.30","        760.00","        771.70","        737.00","        756.40","        745.60","        746.96","      42600","            31820580.00","         68"
"HDFC","EQ","25-Mar-2021","       2465.75","       2488.00","       2491.60","       2431.10","       2478.00","       2470.75","       2456.22","    4759214","         11689682429.80","     196107"
"HDFC","W3","25-Mar-2021","        745.60","        735.10","        790.00","        729.75","        789.00","        784.00","        755.22","      40800","            30812910.00","         67"
